STATE,CONSTITUENCY,WINNER,WINNER_PARTY,WINNER_VOTES,RUNNER_UP,RUNNER_UP_PARTY,RUNNER_UP_VOTES,VOTE_DIFFERENCE
"MADHYA PRADESH",SHAHDOL,"SMT. HIMADRI SINGH","Bharatiya Janata Party",711143,"PHUNDE LAL SINGH MARKO","Indian National Congress",313803,397340
GUJARAT,"CHHOTA UDAIPUR","JASHUBHAI BHILUBHAI RATHVA","Bharatiya Janata Party",796589,"SUKHRAMBHAI HARIYABHAI RATHWA","Indian National Congress",397812,398777
"MADHYA PRADESH",TIKAMGARH,"DR. VIRENDRA KUMAR","Bharatiya Janata Party",715050,"KHUMAN URF PANKAJ AHIRWAR","Indian National Congress",311738,403312
"MADHYA PRADESH",DAMOH,"RAHUL SINGH LODHI","Bharatiya Janata Party",709768,"TARBAR SINGH LODHI (BANTU BHAIYA)","Indian National Congress",303342,406426
"MADHYA PRADESH",DEWAS,"MAHENDRA SINGH SOLANKY","Bharatiya Janata Party",928941,"RAJENDRA RADHAKISHAN MALVIYA","Indian National Congress",503716,425225
"MADHYA PRADESH",HOSHANGABAD,"DARSHAN SINGH CHOUDHARY","Bharatiya Janata Party",812147,"SANJAY SHARMA SANJU BHAIYA","Indian National Congress",380451,431696
CHHATTISGARH,DURG,"VIJAY BAGHEL","Bharatiya Janata Party",956497,"RAJENDRA SAHU","Indian National Congress",518271,438226
"TAMIL NADU",DINDIGUL,"SACHITHANANTHAM R","Communist Party of India  (Marxist)",670149,"MOHAMED MUBARAK M A","All India Anna Dravida Munnetra Kazhagam",226328,443821
GUJARAT,BHAVNAGAR,"NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA)","Bharatiya Janata Party",716883,"UMESHBHAI NARANBHAI MAKWANA","Aam Aadmi Party",261594,455289
GUJARAT,"AHMEDABAD EAST","HASMUKHBHAI PATEL (H.S.PATEL)","Bharatiya Janata Party",770459,"HIMMATSINH PRAHLADSINH PATEL","Indian National Congress",308704,461755
TELANGANA,KHAMMAM,"RAMASAHAYAM RAGHURAM REDDY","Indian National Congress",766929,"NAMA NAGESWARA RAO","Bharat Rashtra Samithi",299082,467847
"WEST BENGAL",JOYNAGAR,"PRATIMA MONDAL","All India Trinamool Congress",894312,"ASHOK KANDARY","Bharatiya Janata Party",424093,470219
"MADHYA PRADESH",SAGAR,"DR. LATA WANKHEDE","Bharatiya Janata Party",787979,"CHANDRA BHUSAN SINGH BUNDELA GUDDU RAJA","Indian National Congress",316757,471222
GUJARAT,RAJKOT,"PARSHOTTAMBHAI RUPALA","Bharatiya Janata Party",857984,"DHANANI PARESH","Indian National Congress",373724,484260
"MADHYA PRADESH",JABALPUR,"ASHISH DUBEY","Bharatiya Janata Party",790133,"DINESH YADAV","Indian National Congress",303459,486674
TRIPURA,"TRIPURA EAST","KRITI DEVI DEBBARMAN","Bharatiya Janata Party",777447,"RAJENDRA REANG","Communist Party of India  (Marxist)",290628,486819
"TAMIL NADU",SRIPERUMBUDUR,"T R BAALU","Dravida Munnetra Kazhagam",758611,"G PREMKUMAR","All India Anna Dravida Munnetra Kazhagam",271582,487029
"MADHYA PRADESH",MANDSOUR,"SUDHEER GUPTA","Bharatiya Janata Party",945761,"DILIP SINGH GURJAR","Indian National Congress",445106,500655
"MADHYA PRADESH",BHOPAL,"ALOK SHARMA","Bharatiya Janata Party",981109,"ADVOCATE ARUN SHRIVASTAVA","Indian National Congress",479610,501499
"ANDHRA PRADESH",VISAKHAPATNAM,"SRIBHARAT MATHUKUMILI","Telugu Desam",907467,"JHANSI LAKSHMI. BOTCHA.","Yuvajana Sramika Rythu Congress Party",403220,504247
GUJARAT,PANCHMAHAL,"RAJPALSINH MAHENDRASINH JADAV","Bharatiya Janata Party",794579,"GULABSINH SOMSINH CHAUHAN","Indian National Congress",285237,509342
"MADHYA PRADESH",GUNA,"JYOTIRADITYA M. SCINDIA","Bharatiya Janata Party",923302,"YADVENDRA RAO DESHRAJ SINGH","Indian National Congress",382373,540929
"MADHYA PRADESH",KHAJURAHO,"VISHNU DATT SHARMA (V.D.SHARMA)","Bharatiya Janata Party",772774,"KAMLESH KUMAR","Bahujan Samaj Party",231545,541229
"UTTAR PRADESH","GAUTAM BUDDHA NAGAR","DR. MAHESH SHARMA","Bharatiya Janata Party",857829,"DR. MAHENDRA SINGH NAGAR","Samajwadi Party",298357,559472
TELANGANA,NALGONDA,"KUNDURU RAGHUVEER","Indian National Congress",784337,"SAIDI REDDY SHANAMPUDI","Bharatiya Janata Party",224432,559905
"TAMIL NADU",TIRUVALLUR,"Sasikanth Senthil","Indian National Congress",796956,"Balaganapathy V. Pon","Bharatiya Janata Party",224801,572155
CHHATTISGARH,RAIPUR,"BRIJMOHAN AGRAWAL","Bharatiya Janata Party",1050351,"VIKAS UPADHYAY","Indian National Congress",475066,575285
GUJARAT,VADODARA,"DR. HEMANG JOSHI","Bharatiya Janata Party",873189,"PADHIYAR  JASHPALSINH MAHENDRASINH (BAPU)","Indian National Congress",291063,582126
TRIPURA,"TRIPURA WEST","BIPLAB KUMAR DEB","Bharatiya Janata Party",881341,"ASISH KUMAR SAHA","Indian National Congress",269763,611578
"WEST BENGAL","DIAMOND HARBOUR","ABHISHEK BANERJEE","All India Trinamool Congress",1048230,"ABHIJIT DAS (BOBBY)","Bharatiya Janata Party",337300,710930
GUJARAT,GANDHINAGAR,"AMIT SHAH","Bharatiya Janata Party",1010972,"SONAL RAMANBHAI PATEL","Indian National Congress",266256,744716
GUJARAT,NAVSARI,"C R PATIL","Bharatiya Janata Party",1031065,"NAISHADHBHAI BHUPATBHAI  DESAI","Indian National Congress",257514,773551
"MADHYA PRADESH",VIDISHA,"SHIVRAJ SINGH CHOUHAN","Bharatiya Janata Party",1116460,"PRATAPBHANU SHARMA","Indian National Congress",295052,821408
"MADHYA PRADESH",INDORE,"SHANKAR LALWANI","Bharatiya Janata Party",1226751,NOTA,"None of the Above",218674,1008077
ASSAM,DHUBRI,"RAKIBUL HUSSAIN","Indian National Congress",1471885,"MOHAMMED BADRUDDIN AJMAL","All India United Democratic Front",459409,1012476
